PKLT_NM,TPKCT,NOW_PRK_VHCL_CNT,timestamp,weekday
천호역 공영주차장(시),1431,1013,2024-10-19 12:20:02,Saturday
천호역 공영주차장(시),1431,1037,2024-10-19 12:30:01,Saturday
천호역 공영주차장(시),1431,1053,2024-10-19 12:40:02,Saturday
천호역 공영주차장(시),1431,1070,2024-10-19 12:50:01,Saturday
천호역 공영주차장(시),1431,1067,2024-10-19 13:00:02,Saturday
천호역 공영주차장(시),1431,1074,2024-10-19 13:10:01,Saturday
천호역 공영주차장(시),1431,1080,2024-10-19 13:20:04,Saturday
천호역 공영주차장(시),1431,1093,2024-10-19 13:30:01,Saturday
천호역 공영주차장(시),1431,1092,2024-10-19 13:40:02,Saturday
천호역 공영주차장(시),1431,1064,2024-10-19 13:50:01,Saturday
천호역 공영주차장(시),1431,1060,2024-10-19 14:00:02,Saturday
천호역 공영주차장(시),1431,1057,2024-10-19 14:10:01,Saturday
천호역 공영주차장(시),1431,1063,2024-10-19 14:20:01,Saturday
천호역 공영주차장(시),1431,1063,2024-10-19 14:30:01,Saturday
천호역 공영주차장(시),1431,1053,2024-10-19 14:40:01,Saturday
천호역 공영주차장(시),1431,1040,2024-10-19 14:50:01,Saturday
천호역 공영주차장(시),1431,1048,2024-10-19 15:00:03,Saturday
천호역 공영주차장(시),1431,1069,2024-10-19 15:10:01,Saturday
천호역 공영주차장(시),1431,1052,2024-10-19 15:20:01,Saturday
천호역 공영주차장(시),1431,1058,2024-10-19 15:30:02,Saturday
천호역 공영주차장(시),1431,1049,2024-10-19 15:40:07,Saturday
천호역 공영주차장(시),1431,1038,2024-10-19 15:50:01,Saturday
천호역 공영주차장(시),1431,1032,2024-10-19 16:00:01,Saturday
천호역 공영주차장(시),1431,1003,2024-10-19 16:10:07,Saturday
천호역 공영주차장(시),1431,987,2024-10-19 16:20:02,Saturday
천호역 공영주차장(시),1431,967,2024-10-19 16:30:01,Saturday
천호역 공영주차장(시),1431,952,2024-10-19 16:40:07,Saturday
천호역 공영주차장(시),1431,942,2024-10-19 16:50:02,Saturday
천호역 공영주차장(시),1431,910,2024-10-19 17:00:07,Saturday
천호역 공영주차장(시),1431,894,2024-10-19 17:10:04,Saturday
천호역 공영주차장(시),1431,876,2024-10-19 17:20:01,Saturday
천호역 공영주차장(시),1431,874,2024-10-19 17:30:02,Saturday
천호역 공영주차장(시),1431,854,2024-10-19 17:40:18,Saturday
천호역 공영주차장(시),1431,850,2024-10-19 17:50:10,Saturday
천호역 공영주차장(시),1431,847,2024-10-19 18:00:03,Saturday
천호역 공영주차장(시),1431,849,2024-10-19 18:10:26,Saturday
천호역 공영주차장(시),1431,834,2024-10-19 18:20:01,Saturday
천호역 공영주차장(시),1431,821,2024-10-19 18:30:16,Saturday
천호역 공영주차장(시),1431,818,2024-10-19 18:40:01,Saturday
천호역 공영주차장(시),1431,815,2024-10-19 18:50:03,Saturday
천호역 공영주차장(시),1431,817,2024-10-19 19:00:31,Saturday
천호역 공영주차장(시),1431,819,2024-10-19 19:10:30,Saturday
천호역 공영주차장(시),1431,818,2024-10-19 19:20:23,Saturday
천호역 공영주차장(시),1431,814,2024-10-19 19:30:08,Saturday
천호역 공영주차장(시),1431,810,2024-10-19 19:40:01,Saturday
천호역 공영주차장(시),1431,805,2024-10-19 19:50:01,Saturday
천호역 공영주차장(시),1431,798,2024-10-19 20:00:12,Saturday
천호역 공영주차장(시),1431,798,2024-10-19 20:10:01,Saturday
천호역 공영주차장(시),1431,790,2024-10-19 20:20:16,Saturday
천호역 공영주차장(시),1431,782,2024-10-19 20:30:01,Saturday
천호역 공영주차장(시),1431,773,2024-10-19 20:40:03,Saturday
천호역 공영주차장(시),1431,759,2024-10-19 20:50:06,Saturday
천호역 공영주차장(시),1431,744,2024-10-19 21:00:05,Saturday
천호역 공영주차장(시),1431,743,2024-10-19 21:10:01,Saturday
천호역 공영주차장(시),1431,734,2024-10-19 21:20:03,Saturday
천호역 공영주차장(시),1431,730,2024-10-19 21:30:03,Saturday
천호역 공영주차장(시),1431,715,2024-10-19 21:40:03,Saturday
천호역 공영주차장(시),1431,712,2024-10-19 21:50:01,Saturday
천호역 공영주차장(시),1431,697,2024-10-19 22:00:02,Saturday
천호역 공영주차장(시),1431,688,2024-10-19 22:10:01,Saturday
천호역 공영주차장(시),1431,679,2024-10-19 22:20:01,Saturday
천호역 공영주차장(시),1431,670,2024-10-19 22:30:01,Saturday
천호역 공영주차장(시),1431,668,2024-10-19 22:40:02,Saturday
천호역 공영주차장(시),1431,664,2024-10-19 22:50:01,Saturday
천호역 공영주차장(시),1431,662,2024-10-19 23:00:02,Saturday
천호역 공영주차장(시),1431,652,2024-10-19 23:10:01,Saturday
천호역 공영주차장(시),1431,649,2024-10-19 23:20:02,Saturday
천호역 공영주차장(시),1431,648,2024-10-19 23:30:04,Saturday
천호역 공영주차장(시),1431,642,2024-10-19 23:40:02,Saturday
천호역 공영주차장(시),1431,640,2024-10-19 23:50:01,Saturday
천호역 공영주차장(시),1431,638,2024-10-20 00:00:01,Sunday
천호역 공영주차장(시),1431,631,2024-10-20 00:10:02,Sunday
천호역 공영주차장(시),1431,631,2024-10-20 00:20:02,Sunday
천호역 공영주차장(시),1431,616,2024-10-20 00:30:01,Sunday
천호역 공영주차장(시),1431,609,2024-10-20 00:40:02,Sunday
천호역 공영주차장(시),1431,608,2024-10-20 00:50:02,Sunday
천호역 공영주차장(시),1431,606,2024-10-20 01:00:02,Sunday
천호역 공영주차장(시),1431,602,2024-10-20 01:10:02,Sunday
천호역 공영주차장(시),1431,595,2024-10-20 01:30:03,Sunday
천호역 공영주차장(시),1431,596,2024-10-20 01:40:01,Sunday
천호역 공영주차장(시),1431,593,2024-10-20 01:50:01,Sunday
천호역 공영주차장(시),1431,593,2024-10-20 02:00:06,Sunday
천호역 공영주차장(시),1431,589,2024-10-20 02:10:02,Sunday
천호역 공영주차장(시),1431,588,2024-10-20 02:20:01,Sunday
천호역 공영주차장(시),1431,585,2024-10-20 02:30:04,Sunday
천호역 공영주차장(시),1431,582,2024-10-20 02:40:03,Sunday
천호역 공영주차장(시),1431,582,2024-10-20 02:50:01,Sunday
천호역 공영주차장(시),1431,582,2024-10-20 03:00:01,Sunday
천호역 공영주차장(시),1431,579,2024-10-20 03:10:01,Sunday
천호역 공영주차장(시),1431,574,2024-10-20 03:20:01,Sunday
